AUDIT DE MATCHING - Evangelion 64
======================================================================

FUNCIONES CON DIFERENCIAS:
----------------------------------------------------------------------


FUNCIONES CON MATCH:
----------------------------------------------------------------------
0x009DB4 | func_8009F1B4                  |  512 bytes
0x009FB4 | func_8009F3B4                  |  248 bytes
0x00A0AC | func_8009F4AC                  |   40 bytes
0x00A0D4 | func_8009F4D4                  |   20 bytes
0x00A0E8 | func_8009F4E8                  |   60 bytes
0x00A124 | func_8009F524                  |   16 bytes
0x00A140 | func_8009F540                  |   88 bytes
0x00A198 | func_8009F598                  |  268 bytes
0x00A2B0 | func_8009F6B0                  |  944 bytes
0x00A660 | func_8009FA60                  |  456 bytes
0x00A828 | func_8009FC28                  |  160 bytes
0x00A8C8 | func_8009FCC8                  |  176 bytes
0x00A978 | func_8009FD78                  |   36 bytes
0x00A99C | func_8009FD9C                  |   64 bytes
0x00A9DC | func_8009FDDC                  | 1952 bytes
0x00B17C | func_800A057C                  | 1060 bytes
0x00B5A0 | func_800A09A0                  |  340 bytes
0x00B6F4 | func_800A0AF4                  |  716 bytes
0x00B9C0 | func_800A0DC0                  |  740 bytes
0x00BCA4 | func_800A10A4                  |  596 bytes
0x00BEF8 | func_800A12F8                  |  120 bytes
0x00BF70 | func_800A1370                  |  140 bytes
0x00BFFC | func_800A13FC                  |   40 bytes
0x00C024 | func_800A1424                  |   32 bytes
0x00C044 | func_800A1444                  |  160 bytes
0x00C0E4 | func_800A14E4                  |   32 bytes
0x00C104 | func_800A1504                  |  160 bytes
0x00C1A4 | func_800A15A4                  |   36 bytes
0x00C1C8 | func_800A15C8                  |  168 bytes
0x00C270 | func_800A1670                  |   32 bytes
0x00C290 | func_800A1690                  |  160 bytes
0x00C330 | func_800A1730                  |   32 bytes
0x00C350 | func_800A1750                  |  160 bytes
0x00C3F0 | func_800A17F0                  |   56 bytes
0x00C428 | func_800A1828                  |  172 bytes
0x00C4D4 | func_800A18D4                  |   96 bytes
0x00C534 | func_800A1934                  |  320 bytes
0x00C674 | func_800A1A74                  |   28 bytes
0x00C690 | func_800A1A90                  |  172 bytes
0x00C73C | func_800A1B3C                  |  208 bytes
0x00C80C | func_800A1C0C                  |  116 bytes
0x00C880 | func_800A1C80                  |  144 bytes
0x00C910 | func_800A1D10                  |  148 bytes
0x00C9A4 | func_800A1DA4                  |  300 bytes
0x00CAD0 | func_800A1ED0                  | 1944 bytes
0x00D270 | func_800A2670                  |  172 bytes
0x00D31C | func_800A271C                  |   36 bytes
0x00D340 | func_800A2740                  |  412 bytes
0x00D4E0 | func_800A28E0                  |   32 bytes
0x00D500 | func_800A2900                  |  268 bytes
0x00D60C | func_800A2A0C                  |  248 bytes
0x00D704 | func_800A2B04                  | 2008 bytes
0x00DEDC | func_800A32DC                  |   72 bytes
0x00DF24 | func_800A3324                  |  132 bytes
0x00DFA8 | func_800A33A8                  |  280 bytes
0x00E0C0 | func_800A34C0                  |  356 bytes
0x00E224 | func_800A3624                  |  100 bytes
0x00E288 | func_800A3688                  |  636 bytes
0x00E504 | func_800A3904                  |   36 bytes
0x00E528 | func_800A3928                  |  164 bytes
0x00E5CC | func_800A39CC                  |  160 bytes
0x00E66C | func_800A3A6C                  |  896 bytes
0x00E9EC | func_800A3DEC                  |  124 bytes
0x00EA68 | func_800A3E68                  |   24 bytes
0x00EA80 | func_800A3E80                  |   24 bytes
0x00EA98 | func_800A3E98                  | 1428 bytes
0x00F02C | func_800A442C                  |  124 bytes
0x00F0A8 | func_800A44A8                  |  196 bytes
0x00F16C | func_800A456C                  |  256 bytes
0x00F26C | func_800A466C                  |  452 bytes
0x00F430 | func_800A4830                  |  676 bytes
0x00F6D4 | func_800A4AD4                  |  124 bytes
0x00F750 | func_800A4B50                  |  364 bytes
0x00F8BC | func_800A4CBC                  |   60 bytes
0x00F8F8 | func_800A4CF8                  |  220 bytes
0x00F9D4 | func_800A4DD4                  |  120 bytes
0x00FA4C | func_800A4E4C                  |   36 bytes
0x00FA70 | func_800A4E70                  |   28 bytes
0x00FA8C | func_800A4E8C                  |  772 bytes
0x00FD90 | func_800A5190                  |   72 bytes
0x00FDD8 | func_800A51D8                  |  892 bytes
0x010160 | func_800A5560                  |  328 bytes
0x0102A8 | func_800A56A8                  |   36 bytes
0x0102CC | func_800A56CC                  |  496 bytes
0x0104BC | func_800A58BC                  |  892 bytes
0x010838 | func_800A5C38                  |  356 bytes
0x01099C | func_800A5D9C                  |  276 bytes
0x010AB0 | func_800A5EB0                  |  424 bytes
0x010C58 | func_800A6058                  |   56 bytes
0x010C90 | func_800A6090                  |   24 bytes
0x010CA8 | func_800A60A8                  |  160 bytes
0x010D48 | func_800A6148                  |  160 bytes
0x010DE8 | func_800A61E8                  |   36 bytes
0x010E0C | func_800A620C                  |  324 bytes
0x010F50 | func_800A6350                  |   56 bytes
0x010F88 | func_800A6388                  |   48 bytes
0x010FB8 | func_800A63B8                  |   84 bytes
0x01100C | func_800A640C                  |   36 bytes
0x011030 | func_800A6430                  |  264 bytes
0x011138 | func_800A6538                  |  444 bytes
0x0112F4 | func_800A66F4                  |   36 bytes
0x011318 | func_800A6718                  |  460 bytes
0x0114E4 | func_800A68E4                  |  136 bytes
0x01156C | func_800A696C                  |  232 bytes
0x011654 | func_800A6A54                  |   84 bytes
0x0116A8 | func_800A6AA8                  |   60 bytes
0x0116E4 | func_800A6AE4                  |   68 bytes
0x011728 | func_800A6B28                  |  116 bytes
0x01179C | func_800A6B9C                  |  196 bytes
0x011860 | func_800A6C60                  |   96 bytes
0x0118C0 | func_800A6CC0                  | 1040 bytes
0x011CD0 | func_800A70D0                  |  464 bytes
0x011EA0 | func_800A72A0                  |  108 bytes
0x011F0C | func_800A730C                  |   72 bytes
0x011F54 | func_800A7354                  |  160 bytes
0x0120A8 | func_800A74A8                  |  188 bytes
0x012164 | func_800A7564                  |   76 bytes
0x012260 | func_800A7660                  |  376 bytes
0x0123D8 | func_800A77D8                  |  788 bytes
0x0126EC | func_800A7AEC                  |  892 bytes
0x012A68 | func_800A7E68                  |   40 bytes
0x012A90 | func_800A7E90                  |   64 bytes
0x012AD0 | func_800A7ED0                  |   84 bytes
0x012B24 | func_800A7F24                  |   60 bytes
0x012B60 | func_800A7F60                  |  320 bytes
0x012CA0 | func_800A80A0                  |   80 bytes
0x012CF0 | func_800A80F0                  |  208 bytes
0x012DC0 | func_800A81C0                  |  148 bytes
0x012E54 | func_800A8254                  | 1016 bytes
0x01324C | func_800A864C                  |  152 bytes
0x0132F0 | func_800A86F0                  |   52 bytes
0x013324 | func_800A8724                  |  100 bytes
0x013388 | func_800A8788                  |  104 bytes
0x0133F0 | func_800A87F0                  |  532 bytes
0x013610 | thread3_main                   |  292 bytes
0x013734 | func_800A8B34                  |  580 bytes
0x013978 | func_800A8D78                  |   52 bytes
0x0139AC | func_800A8DAC                  |  148 bytes
0x013A40 | func_800A8E40                  |  212 bytes
0x013B14 | func_800A8F14                  |  252 bytes
0x013C10 | func_800A9010                  |  136 bytes
0x013C98 | func_800A9098                  |  168 bytes
0x013D40 | func_800A9140                  |   64 bytes
0x013D80 | func_800A9180                  |  116 bytes
0x013DF4 | func_800A91F4                  |  100 bytes
0x013E58 | func_800A9258                  |  216 bytes
0x013F30 | func_800A9330                  |  124 bytes
0x013FC4 | func_800A93C4                  |  172 bytes
0x014070 | func_800A9470                  |  588 bytes
0x0142BC | func_800A96BC                  |   72 bytes
0x014304 | func_800A9704                  |   68 bytes
0x014348 | func_800A9748                  |   76 bytes
0x014394 | func_800A9794                  |   72 bytes
0x0143DC | func_800A97DC                  |   16 bytes
0x01440C | func_800A980C                  |   60 bytes
0x014448 | func_800A9848                  |   80 bytes
0x014498 | func_800A9898                  |  284 bytes
0x0145B4 | func_800A99B4                  |  480 bytes
0x014794 | func_800A9B94                  |  600 bytes
0x0149EC | func_800A9DEC                  |   96 bytes
0x014A4C | func_800A9E4C                  |  308 bytes
0x014B80 | func_800A9F80                  |   36 bytes
0x014BA4 | func_800A9FA4                  |  300 bytes
0x014CD0 | func_800AA0D0                  | 1140 bytes
0x015150 | func_800AA550                  |   88 bytes
0x0151A8 | func_800AA5A8                  |  128 bytes
0x015228 | func_800AA628                  |  232 bytes
0x015310 | func_800AA710                  |  232 bytes
0x0153F8 | func_800AA7F8                  |  300 bytes
0x015524 | func_800AA924                  |  356 bytes
